natural_language,terminal_command
Create an empty file with a carriage return character in its name.,touch $'Icon\r'
"Create an empty index.html, or update its timestamp if it already exists.",touch index.html
"Ensure all 5 of UEDP0{1..5}_20120821.csv files exist, creating empty files for any missing ones (updates the file's timestamps)",touch -a UEDP0{1..5}_20120821.csv
"Make sure the file "".bash_profile"" exists in current directory, update its timestamp to current date/time.",touch .bash_profile
Set the timestamp of B to the same one as A,touch -r A B
"Set timestamp of B to the timestamp in stat format specified by variable ""old_time""","touch -d""$(date --date=""@$old_time"")"" B"
Set timestamp of all PHP files in current directory to date specified.,touch -d '30 August 2013' *.php
"The file ""files_to_find.txt"" contains a list of filenames, create each file or update its timestamp if it exists.",touch `cat files_to_find.txt`
"Update the timestamp of 'filename', or create an empty file if it doesn't exist.",touch filename
"Change symbolic link ""$f"" into a file",cp --remove-destination $(readlink $f) $f
"Copies """"$project_dir""/iTunesArtwork"", to the 'Payload/iTunesArtwork', rewriting files if necessary.","cp -f ""$project_dir""/iTunesArtwork Payload/iTunesArtwork"
Copies 'src' to 'dest' preserving overwriting the existing files.,cp -n src dest
Copies all files like 'lib*.so' to '~/usr/gtest/lib/' directory.,cp lib*.so ~/usr/gtest/lib
"Copies file '/boot/config-`uname -r`' to the  '.config', printing info message and prompting before owerwriting files.",cp -vi /boot/config-`uname -r` .config
Copies files 'src/prog.js' and 'images/icon.jpg' with fully-defined path to '/tmp/package' directory.,cp --parents src/prog.js images/icon.jpg /tmp/package
Copies newest file under the current folder to the '/tmp/',cp $(ls -1tr * | tail -1) /tmp/
Copy all files in the current directory except those containing 'Music' to '/target_directory'.,cp `ls | grep -v Music` /target_directory
"Copy file ""exist"" from directory ""/file/that"" to a new file named ""file"" in ""/location/for/new""",cp /file/that/exists /location/for/new/file
"Copy file 'src' to 'dest', except if 'dest' already exists.",cp -n src dest
"Copy file or folder linked to by ""file"" to ""file""",cp -rf --remove-destination `readlink file` file
"Copy src_dir recursively to dest_dir, but without overwriting existing files.",cp -nr src_dir dest_dir
"Copy the 3 specified files to /tmp/package, preserving/creating directory structure of each file as specified on command line.",cp --parents src/prog.js images/icon.jpg /tmp/package
"Copy the entire directory tree under t1 to t2, do not create a containing t1 directory in t2.",cp -R t1/ t2
"Create an empty file called ""emptyfile.c""",cp /dev/null emptyfile.c
Display detailed usage help of the 'cp' (copy) command.,cp --help
Duplicate directory tree under /mnt/usr/lib to /usr but creating symlinks to files instead of copying them.,cp -rs /mnt/usr/lib /usr/
"Make a copy of the entire contents of SRCFOLDER called ""DESTFOLDER"", if DESTFOLDER exists, the copy will be placed within it.",cp -R SRCFOLDER DESTFOLDER/
Make a copy of the entire contents of dir1 in the Pictures directory located in the user's home directory.,cp -r dir1/ ~/Pictures/
Prints help on 'cp' utility.,cp --help
"Recursively copies ""$1"" to ""$2"".","cp -R ""$1"" ""$2"""
"Recursively copies ""$appname.app"", preserving symlinks as symlinks to the 'Payload' directory.","cp -Rp ""$appname.app"" Payload/"
Recursively copies '../include/gtest' directory to '~/usr/gtest/include/'.,cp -r ../include/gtest ~/usr/gtest/include/
Recursively copies 'SRCFOLDER' to the 'DESTFOLDER/',cp -R SRCFOLDER DESTFOLDER/
Recursively copies 'src' to 'dest' preserving overwriting the existing files.,cp -nr src_dir dest_dir
"Recursively copies /mnt/usr/lib to the '/usr/' directory, creating symbolic links on each file instead of real copying them.",cp -rs /mnt/usr/lib /usr/
"Recursively copies all files in the current directory but ones that names match pattern ""dirToExclude|targetDir"" to the 'targetDir' directory, printing info message on each operation.","cp -rv `ls -A | grep -vE ""dirToExclude|targetDir""` targetDir"
Recursively copies all files in the current directory but ones with 'c' in name to the home directory.,"cp -r `ls -A | grep -v ""c""` $HOME/"
"Recursively copies everything from '/source/path/*' to the '/destination/path/', preserving from overwriting existing files, and printing info message on each operation.",cp -Rvn /source/path/* /destination/path/
Recursively copies everything under the 'current' folder to the '.hiddendir' folder.,cp * .hiddendir -R
"Recursively copy everything in /source/path whose name doesn't begin with a period, to /destination/path, without overwriting existing files, and outputting a line for each file copied or skipped.",cp -Rvn /source/path/* /destination/path/
copy all files which do not have execute permission to another folder,cp `find -perm -111 -type f` /usr/local/bin
find all regular/normal files which have execute permission in current folder and copy them to another folder,cp `find -perm -111 -type f` /usr/local/bin
Find all *shp* directories under current directory and move all regular files inside those directories to ../shp_all/,"mv $(find $(find . -name ""*shp*"" -printf ""%h\n"" | uniq) -type f) ../shp_all/"
"Move ""/usr/bin/openssl"" to directory ""/root/""",mv /usr/bin/openssl /root/
"Move ""caniwrite"" without clobbering into ""/usr/local/bin""",mv -nv caniwrite /usr/local/bin
"Move ""file.txt"" to docker container ""$CONTAINER_ID"" in path ""/var/lib/docker/devicemapper/mnt/$CONTAINER_ID/rootfs/root/file.txt""",mv -f file.txt /var/lib/docker/devicemapper/mnt/$CONTAINER_ID/rootfs/root/file.txt
"Move ""file.txt"" to docker container ""$COUNTAINER_ID"" in path ""/var/lib/docker/aufs/mnt/$CONTAINER_ID/rootfs/root/file.txt""",mv -f file.txt /var/lib/docker/aufs/mnt/$CONTAINER_ID/rootfs/root/file.txt
"Move ""file1"", ""file2"", ""..."" to ""target"" directory",mv -t target file1 file2 ...
"Move ""tobecopied/tobeexclude"" to ""tobeexclude""",mv tobecopied/tobeexclude tobeexclude;
"Move ""tobecopied/tobeexcluded"" to the current directory",mv tobecopied/tobeexcluded .
"Move all files and directories in the current directory to ""/tmp/blah/""",mv * /tmp/blah/
"Move all files and directories in the current directory to ""somewhere/""",mv `ls` somewhere/
"Move all files and directories matching ""*.boo"" in the current directory to ""subdir""",mv `ls *.boo` subdir
"Move all files and directories not starting with ""l"" in ""/mnt/usbdisk"" to ""/home/user/stuff/.""",mv /mnt/usbdisk/[^l]* /home/user/stuff/.
"Move all files including hidden files and excluding "".."" in ""/path/subfolder/"" to ""/path/""","mv /source/path/{.[!.],}* /destination/path"
"Move all files including hidden files in ""/path/subfolder/"" to ""/path/""","mv /path/subfolder/{.,}* /path/"
"Move all files not matching ""Tux.png"" in ""~/Linux/Old"" to ""~/Linux/New/"" using zsh with ""EXTENDED_GLOB""",mv ~/Linux/Old/^Tux.png ~/Linux/New/
"Move all hidden files in ""/path/subfolder/"" to ""/path/""",mv /path/subfolder/.* /path/
"Move all hidden files in ""wordpress"" to the current directory",mv wordpress/.* .
"Move server.log to 'logs' directory with new name as the current date formatted as ""%Y%m%d%H%M"" and with '.log' extension","mv server.log logs/$(date -d ""today"" +""%Y%m%d%H%M"").log"
Moves the file that named like file $1 from '/tmp' folder to the folder where $2 file is located.,"mv ""/tmp/`basename $1`"" ""`dirname $2`"""
"Rename ""Tux.png"" to "".Tux.png""",mv Tux.png .Tux.png
"Rename ""blah1"" to ""blah1-new""",mv blah1 blah1-new
"Rename ""blah2"" to ""blah2-new""",mv blah2 blah2-new
"Rename ""fghfilea"" to ""jklfilea""",mv fghfilea jklfilea
"Rename ""file0001.txt"" to ""1.txt""",mv file0001.txt 1.txt
"Rename ""new"" to ""old"" and backup to ""old.old"" if ""old"" exists",mv new old -b -S .old
"Rename ""new"" to ""old"" and make a backup if ""old"" exists",mv new old -b
"Rename ""original.filename"" to ""new.original.filename""",mv original.filename new.original.filename
"Rename ""original.filename"" to ""new.original.filename""","mv {,new.}original.filename"
"Rename ""svnlog.py"" to ""svnlog""",mv svnlog.py svnlog
"Rename ""www_new"" to ""www"" even if ""www"" directory exists",mv -T www_new www
"Rename $file file, preserving only part of name before '-' symbol, and appending '.pkg' suffix to the end",mv $file $(echo $file | rev | cut -f2- -d- | rev).pkg
"Rename absolute path of symbolic link ""dirln"" to ""dir2""","mv ""$(readlink -f dirln)"" dir2"
Rename file file.txt.123456 to file.txt,mv file.txt.123456 $(ls file.txt.123456 | rev | cut -c8- | rev)
Rename uppercase file or folder name $1 to lower case name,mv $1 `echo $1 | tr '[:upper:]' '[:lower:]'`
"(Linux specific) Display all lines containing ""IP_MROUTE"" in the current kernel's compile-time config file.",cat /boot/config-`uname -r` | grep IP_MROUTE
(Linux specific) Display current running kernel's compile-time config file.,cat /boot/config-`uname -r`
"(Linux specific) Search for command ""tail"" in the maps of the process with PID 2671",cat /proc/2671/maps | grep `which tail`
"Add a cron job to existing list, without removing existing ones, ro tun ""scripty.sh"" at 2:01 am, 3rd day of april (4th month), if that day happens to be a friday (5th day of the week starting with sunday=0).","cat <(crontab -l) <(echo ""1 2 3 4 5 scripty.sh"") | crontab -"
"Add cron lists from ""file1"" and ""file2"" to list of cron jobs, giving errors for any lines that cannot be parsed by crontab.",cat file1 file2 | crontab
Calculate the md5 sum of all *.py files in the current directory,cat *.py | md5sum
"Calculate the md5 sum of the contents of ""$FILES""",cat $FILES | md5sum
Check if content of all top-level *.txt files in the current directory contain only unique lines,cat *.txt | sort | sort -u -c
Copies file 'fileName.txt' to each of directories listed in the 'allFolders.txt' list.,cat allFolders.txt | xargs -n 1 cp fileName.txt
"Copy ""fileName.txt"" to all directories listed in ""allFolders.txt"" - names may not contain spaces.",cat allFolders.txt | xargs -n 1 cp fileName.txt
"Copy local file ""$1"" to host ""$2"" into host directory ""$3""","cat $1 | ssh $2 ""mkdir $3;cat >> $3/$1"""
"Count the number of lines in ""/dir/file.txt""",cat /dir/file.txt | wc -l
"Count the number of lines in ""/etc/fstab""",cat /etc/fstab | wc -l
"Count the number of lines in ""myfile.txt""",cat myfile.txt | wc -l
"Count the number of lines in all "".txt"" files",cat *.txt | wc -l
Counts lines in file 'filename' ignoring empty lines and lines with spaces only.,cat 'filename' | grep '[^ ]' | wc -l
Counts lines of /dir/file.txt file.,cat /dir/file.txt | wc -l
Counts lines of /etc/fstab file.,cat /etc/fstab | wc -l
Counts lines of all *.txt files in a current folder.,cat *.txt | wc -l
Counts lines of myfile.txt file.,cat myfile.txt | wc -l
Counts non-empty lines in file fileName.,cat fileName | grep -v ^$ | wc -l
"Create a symbolic link in directory ""~/newlinks"" for each file listed in ""results2.txt""",cat results2.txt | xargs -I{} ln -s {} ~/newlinks
Create new crontab set including $job and only jobs from current crontab that don`t contain $command,"cat <(fgrep -i -v ""$command"" <(crontab -l)) <(echo ""$job"") | crontab -"
"Display ""infile"" as printable characters or backslash escapes",cat infile | od -c
Display all lines contiaining 'funcname' in system map file matching current kernel.,cat /boot/System.map-`uname -r` | grep funcname
Display standard input as octal bytes,cat | od -b
"Display the content of file ""f"" in home directory if it exists and is executable",cat `which ~/f`
"Display the contents of ""myfile"" located in the current directory.",cat myfile
"Display the contents of ""text""",cat text
Extract files from archive 'archive.tar',cat archive.tar | tar x
"File ""files.txt"" contains a list of files, copy all files listed to host ""remote"", connecting as ssh user ""user"", and copying the files to this user's home directory - this will not work with files/directory names containing spaces.",cat files.txt | xargs scp user@remote:
Find all *.foo files under current directory and print their contents,cat $(find . -name '*.foo')
Find all *.foo files under current directory and print their contents,cat `find . -name '*.foo' -print`
"Find all strings matching pattern ""^${KEY}${DELIMITER}"" in $FILE file and print rest of string after $DELIMITER","cat ""$FILE"" | grep ""^${KEY}${DELIMITER}"" | cut -f2- -d""$DELIMITER"""
Find strings with 'Features' in /var/run/dmesg.boot' file,cat /var/run/dmesg.boot | grep Features
"Format ""file.txt"" as space separated columns 28 characters in width","cat file.txt | column -c 28 -s ""\ """
Format output of 'file' content to columns with wide not less than 80 pixels,cat file | column -c 80
Get domain names from file '1.txt' and request TXT DNS record for each one,cat 1.txt | xargs dig TXT
"Infinitely ping every host listed in ""file-of-ips"" with at most 50 processes at once",cat file-of-ips | xargs -n 1 -I ^ -P 50 ping ^
"List common files in directories ""1"" and ""2""",cat <(ls 1 | sort -u) <(ls 2 | sort -u) | uniq -d
"Make directories for each line in ""folder_list.txt""",cat folder_list.txt | xargs mkdir
"Make directories for each unique file path in ""file1""","cat file1 |xargs -I {} dirname ""{}""| sort -u | xargs -I{} mkdir -p ""{}"""
Move all files listed in $i file to dir.$count directory,cat $i | xargs mv -t dir.$count
"Numberically sort content of file 'files', using for sorting part of second one of dash separated fields beginning from second letter.","cat files | sort -t- -k2,2 -n"
"Ping all hosts in file ""ips"" twice",cat ips | xargs -i% ping -c 2 %
"Ping all hosts in file ""ips"" twice",cat ips | xargs -n1 ping -c 2
"Pipe content of 'somedata.txt' file to the input of command ""$outfile""","cat somedata.txt | ""$outfile"""
"Print ""echo ping -c 2"" on each string in file 'ips'",cat ips | xargs -n1 echo ping -c 2
"Print ""echo ping -c 2"" on each string in file 'ips'",cat ips | xargs echo ping -c 2
"Print ""new.txt"" with line numbers prepended",cat new.txt  | nl
"Print 'file' content, formatting output as 29-symbol wide column, regarding space symbol as a word separator",cat file | fold -s -w29
"Print 'file' file, splitting lines into pieces with no more that 3 words in each one.",cat file | xargs -n3
Print 'infile' content with line numbers,cat -n infile
"Print a line of 100 random characters either ""."" or "" """,cat /dev/urandom | tr -dc '. ' | fold -w 100 | head -1
Print all lines from file 'report.txt' containing any-cased 'error' pattern,cat report.txt | grep -i error
Print all unique strings in $1.tmp file.,cat $1.tmp | sort -u
Print command line of process with pid 17709,cat /proc/17709/cmdline | xargs -0 echo
Print concatenated content of all files ending with '.foo' under the current folder,cat `find . -name '*.foo' -print`
"Print content of 'a' file, showing all non-printing characters including TAB characters, and displaying $ at the end of each line.",cat -vet a
"Print content of 'filename' file, showing all non-printing characters and displaying $ at the end of each line.",cat -v -e filename
Print content of 'whatever' file,cat whatever | egrep 'snozzberries|$'
Print content of /etc/passwd and /etc/group files,cat /etc/passwd /etc/group
Print content of all files ending with '*.foo' under the current directory,cat $(find . -name '*.foo')
"Print continuous lines of 100 random characters either ""."" or "" """,cat /dev/urandom | tr -dc '. ' | fold -w 100
"Print every two lines in ""file"" on a single line separated by a space",cat file | paste -d' ' - -
"Print every two lines in ""file"" on a single line separated by a space",cat file | paste -d\ - - -
"Print file type information of the ""java"" executable",cat `which java` | file -
Print fourth column of data from text file text.txt where columns separated by one or more whitespaces.,cat text.txt | tr -s ' ' | cut -d ' ' -f4
Print info about thread number of process with pid 1,cat /proc/1/sched  | head -n 1
"Print joined strings from 'file', using space symbol as separator.",cat file | xargs
"Print lines 16225 to 16482 in file ""file""",cat file | head -n 16482 | tail -n 258
Print lines that only unique ones in 'set1' and 'set2' files,cat <(grep -vxF -f set1 set2) <(grep -vxF -f set2 set1)
Print number of bytes in $file.,cat $file | wc -c
"Print only alphanumeric values from ""/dev/urandom""",cat /dev/urandom | tr -dc 'a-zA-Z0-9'
"Print only first line of 'file' content, formatted as 29-symbol wide column",cat file | fold -w29 | head -1
"Print only first line of 'file' content, formatted as 29-symbol wide column, regarding space symbol as a word separator",cat file | fold -s -w29 | head -1
Print only lines from 'file1.txt' that not present in 'file2.txt' and beginning with 'Q',cat file1.txt | grep -Fvf file2.txt | grep '^Q'
"Print only printable characters from ""/dev/urandom""",cat /dev/urandom | tr -dC '[:graph:]'
Print only second from the end field from slash-separated string in file 'datafile',cat datafile | rev | cut -d '/' -f 2 | rev
Print only unique lines in files 'set1' and 'set2',cat set1 set2 | sort -u
Print only unique lines of 'file_name' file,cat -n file_name | sort -uk2 | sort -nk1 | cut -f2-
"Print the contents of ""${SPOOL_FILE}"" file to the console and append to ""${LOG_FILE}"" file",cat ${SPOOL_FILE}                   | tee -a ${LOG_FILE}
"Print the contents of ""Little_Commas.TXT""",cat Little_Commas.TXT
"Print the contents of ""filename""",cat filename
"Print the contents of ""my_script.py""",cat my_script.py
"Print the contents of ""n""",cat n
"Print the contents of ""numbers.txt""",cat numbers.txt
"Print the contents of ""xx.sh""",cat xx.sh
"Print the contents of ""~/.ssh/config""",cat ~/.ssh/config
"Print the current user's mail file in ""/var/spool/mail""",cat /var/spool/mail/`whoami`
"Print the file content of command ""f""","cat ""$(which f)"""
"Print the file content of command ""f""",cat `which f`
"Print the first 24 alphanumeric characters from ""/dev/urandom"", determining C locale for all categories",cat /dev/urandom | LC_ALL=C tr -dc 'a-zA-Z0-9' | fold -w 24 | head -n 1
"Print the first 32 hexadecimal characters from ""/dev/urandom""",cat /dev/urandom | tr -cd 'a-f0-9' | head -c 32
"Print the first 32 hexadecimal characters from ""/dev/urandom"", determining C locale for character handling functions",cat /dev/urandom | env LC_CTYPE=C tr -cd 'a-f0-9' | head -c 32
"Print the grand total disk usage of all files listed in ""files.txt""",cat files.txt | xargs du -c | tail -1
"Print the kernel configuration options found in ""/proc/config.gz""",cat /proc/config.gz | gunzip
Prints only first ten characters of each string of file $file.,cat $file | cut -c 1-10
Prints total number of lines of all *.php files in a current folder and subfolders.,"cat `find . -name ""*.php""` | wc -l"
"Read the raw input of ""/dev/input/mice"" as hexadecimal bytes with 3 bytes per line",cat /dev/input/mice | od -t x1 -w3
Receive input and print it to terminal,cat
Receive input and print it to terminal preceeding with line number,cat -n
Receive pattern to search for on the standard input and print only matching part of lines from file 'f.html',cat f.html | grep -o \
"Recursively find strings in all files under current directory, that matching with comma-separated patterns list in file 'searches-txt'","cat searches.txt| xargs -I {} -d, -n 1 grep  -r {}"
Remove all but 5 last comma-separated fields from each line in 'data.csv',"cat data.csv | rev | cut -d, -f-5 | rev"
"Remove all white space from ""infile.txt"" and wrap each line to 80 characters","cat infile.txt | tr -d ""[:space:]"" | fold -80"
Remove the last 2 tab-separated fields of each line in file pointed to by filename,cat $filename | rev | cut -c 3- | rev
Replace any sequence of spaces in file 'text.txt' with single space and print 4th space separated field,cat text.txt | tr -s ' ' | cut -d ' ' -f 4
"Reversibly sorts content of the '${TMP}/${SCRIPT_NAME}.kb' file, comparing human readable numbers in file strings.",cat ${TMP}/${SCRIPT_NAME}.kb|sort -rh;
Reversibly sorts content of the '${TMP}/${SCRIPT_NAME}.name' file,cat ${TMP}/${SCRIPT_NAME}.name|sort -r;
"Reversibly sorts content of the '${TMP}/${SCRIPT_NAME}.pid' file, comparing human readable numbers in file strings.",cat ${TMP}/${SCRIPT_NAME}.pid|sort -rh;
"Search ""inputfile"" for lines starting with ""t:"" and group the results in files with at most 200 lines each","cat inputfile | grep ""^t\:"" | split -l 200"
Send reverse requests to get domain name for each address in 'my_ips' list,cat my_ips | xargs -i dig -x {} +short
"Sort and print each unique line in ""myfile.txt""",cat myfile.txt| sort| uniq
"Split the contents of all "".txt"" excluding the first 1000 lines into files of at most 1000 lines each",cat *.txt | tail -n +1001 | split --lines=1000
"Ungzip and untar all files matching ""www-backup.tar.*""",cat www-backup.tar.*|gunzip -c |tar xvf -
"Use ""$BYTES"" amount of RAM for ""$SECONDS"" seconds with no output",cat <(yes | tr \\n x | head -c $BYTES) <(sleep $SECONDS) | grep n
"Wrap each line in ""file.txt"" to fit in 80 characters",cat file.txt | fold
"Write every two lines in ""infile"" on a single line separated by a comma","cat infile | paste -sd ',\n'"
"Write every two lines in ""infile"" on a single line separated by a space",cat infile | paste -sd '  \n'
get second-to-last comma-separated field of each line in file.txt,"cat file.txt | rev | cut -d ',' -f 2 | rev"
"lines.txt contains a list of line numbers, one entry per line - output only these lines from text.txt omitting the rest of the file.",cat -n text.txt | join -o2.2 lines.txt -
"split content of the file inputfile except lines started with ""^t:"" into pieces per 200 lines","cat inputfile | grep ""^t\:"" | split -l 200"
split content of the files *.txt beginning with 1001st line into pieces per 1000 lines,cat *.txt | tail -n +1001 | split --lines=1000
Open all files named 'filename' with 'nano' editor in the entire filesystem,find / -name filename -exec nano '{}' \;
find all files that names are filename and open in nano text editor,find / -name filename -exec nano '{}' \;
Find all symbolic links containing 'vim' in their names uder '/usr/bin' directory tree,find /usr/bin -name '*vim*' -type l
Find every vim undo file under current directory,find -type f -iname '*.un~'
"View history using ""vim""",history | vim -
"Open ""charm"" executable file in vim",sudo vim `which charm`
Open all .c files in the current directory tree in the vim editor,"find . -name ""*.c"" -print | vim -"
open the file <filename> in nano,nano <filename>
open the file <filename> in vim,vim <filename>
Find all symbolic links containing 'vim' in their names uder '/usr/bin' directory tree,find /usr/bin -name '*vim*' -type l
show all running processes,ps -e
show detailed information about processes,ps -ef
show processes for the current user,ps -u <username>
show processes in a tree view,ps -ejH
show processes with PID and memory usage,"ps -eo pid,pmem,pcpu,cmd"
sort processes by memory usage,ps aux --sort=-%mem
sort processes by CPU usage,ps aux --sort=-%cpu
show processes with parent PID,"ps -eo ppid,pid,cmd"
display processes with custom columns,"ps -eo pid,ppid,cmd,%mem,%cpu"
show threads for processes,ps -eLf
show processes in hierarchical order,ps axjf
show system summary,top
sort processes by CPU usage,top
show processes for <process_name>,top -p $(pgrep <process_name>)
show <number> processes,top -n <number>
show processes in a tree view,top -H
change refresh interval to <seconds>,top -d <seconds>
show all running processes,top -a
sort processes by PID,top -o pid
show detailed information for processes,top -v
Start 'top' to monitor all processes with the default settings.,top
Use 'top' to monitor the oldest instance of ProgramName.,"top -p ""$"""
Display info on most CPU-intensive processes once and exit.,top -n 1
show system summary,htop
sort processes by CPU usage,htop
kill all jobs,kill $(jobs -p)
kill all active jobs,jobs -p | xargs kill -9
kill all background jobs,jobs -p | xargs kill
kill all background processes,kill -INT $(jobs -p)
kill group leader,kill `jobs -lp`
Instantly kill all processes whose command is 'myprocess'.,kill -9 \`pgrep myprocess\`
"Send SIGKILL signal to process ID 16085, killing it instantly.",kill -9 16085
"Send SIGKILL signal to processes ID 18581, 18582, and 18583, killing them instantly.",kill -9 18581 18582 18583
Kill all processes which were executed in background by the current shell.,jobs -p | xargs kill -9
kill a number of background jobs,jobs -p | tail -n [number of jobs] | xargs kill
Output the string 'yes' continously until killed,yes
"File 'save_pid.txt' contains a process ID, instantly kill this process with SIGKILL signal.",kill -9 `cat save_pid.txt`
Kill the processes of user `myuser' that have been working more than 7 days,find /proc -user myuser -maxdepth 1 -type d -mtime +7 -exec basename {} \; | xargs kill -9
Send SIGTERM signal to first process sent to background by the current shell.,kill %1
Send SIGTERM signal to last process sent to background by the current shell.,kill $!
Check if process ID 1 exists (init or systemd) and current user has permission to send it signals.,kill -0 1
"Send SIGWINCH process to current shell, causing it to update the LINES and COLUMNS variables which describe the size of the screen/window in characters.",kill -s WINCH $$
Send TERM signal to process with id listed in '/var/run/DataBaseSynchronizerClient.pid' file,kill `cat /var/run/DataBaseSynchronizerClient.pid`
"Variable PID contains a process ID, check if this process exists - resulting exit status from this command will be zero if it does and current user has permission to send it signals.",kill -0 $PID
"Send SIGHUP (hangup) signal to nginx master process, causing it to re-read its configuration and restart child processes if necessary.",kill -HUP $( cat /var/run/nginx.pid )
"Execute ""killall -USR1 dd"" every minute",watch -n 60 killall -USR1 dd
"Kill all instances of ""dropbox"" owned by the current use","killall -u ""$"" dropbox"
show memory usage,free -h
show memory usage with buffers and cache,free -h --total
show total memory usage,`free -h
show swap usage,`free -h
